0, 0, 7172, 2828
0, 1, 7362, 2638
0, 2, 7315, 2685
0, 3, 7405, 2595
0, 4, 7341, 2659
0, 5, 7391, 2609
0, 6, 7622, 2378
0, 7, 7531, 2469
0, 8, 7603, 2397
0, 9, 7642, 2358
0, 10, 7532, 2468
0, 11, 7548, 2452
0, 12, 7712, 2288
0, 13, 7653, 2347
0, 14, 7612, 2388
0, 15, 7551, 2449
0, 16, 7681, 2319
0, 17, 7557, 2443
0, 18, 7470, 2530
0, 19, 7773, 2227
0, 20, 7899, 2101
0, 21, 7760, 2240
0, 22, 7668, 2332
0, 23, 7527, 2473
0, 24, 7626, 2374
0, 25, 7551, 2449
0, 26, 7439, 2561
0, 27, 7562, 2438
0, 28, 7630, 2370
0, 29, 7497, 2503
0, 30, 7376, 2624
0, 31, 7351, 2649
0, 32, 7499, 2501
0, 33, 7218, 2782
0, 34, 7141, 2859
0, 35, 7055, 2945
0, 36, 7152, 2848
0, 37, 7179, 2821
0, 38, 7103, 2897
0, 39, 7124, 2876
1, 0, 7041, 2793
1, 1, 7088, 2767
1, 2, 7266, 2615
1, 3, 7266, 2561
1, 4, 7294, 2554
1, 5, 7297, 2568
1, 6, 7321, 2536
1, 7, 7465, 2409
1, 8, 7428, 2472
1, 9, 7493, 2379
1, 10, 7553, 2342
1, 11, 7538, 2348
1, 12, 7604, 2286
1, 13, 7612, 2285
1, 14, 7540, 2376
1, 15, 7517, 2358
1, 16, 7556, 2331
1, 17, 7411, 2454
1, 18, 7463, 2437
1, 19, 7593, 2271
1, 20, 7786, 2091
1, 21, 7647, 2202
1, 22, 7643, 2197
1, 23, 7741, 2107
1, 24, 7419, 2445
1, 25, 7498, 2376
1, 26, 7329, 2578
1, 27, 7232, 2613
1, 28, 7413, 2443
1, 29, 7412, 2444
1, 30, 7360, 2541
1, 31, 7434, 2450
1, 32, 7383, 2509
1, 33, 7238, 2641
1, 34, 6965, 2881
1, 35, 6981, 2866
1, 36, 6948, 2913
1, 37, 7032, 2806
1, 38, 6990, 2883
1, 39, 7057, 2818
2, 0, 6967, 2777
2, 1, 7091, 2653
2, 2, 7145, 2585
2, 3, 7220, 2496
2, 4, 7273, 2460
2, 5, 7243, 2529
2, 6, 7228, 2488
2, 7, 7310, 2450
2, 8, 7408, 2373
2, 9, 7517, 2272
2, 10, 7625, 2185
2, 11, 7464, 2333
2, 12, 7505, 2256
2, 13, 7617, 2173
2, 14, 7543, 2266
2, 15, 7464, 2282
2, 16, 7495, 2250
2, 17, 7409, 2359
2, 18, 7488, 2289
2, 19, 7509, 2225
2, 20, 7619, 2142
2, 21, 7620, 2126
2, 22, 7549, 2210
2, 23, 7525, 2215
2, 24, 7403, 2342
2, 25, 7484, 2280
2, 26, 7259, 2461
2, 27, 7214, 2547
2, 28, 7268, 2475
