,B,Initial Mutant Population,ID,Sectors,,
,3.5,50,7,,,
,3.5,50,8,,,
,3.5,50,9,,,
,3.5,75,0,8,,
,3.5,75,1,,,
,3.5,75,2,,,
,3.5,75,3,,,
,3.5,75,4,,,
,3.5,75,5,,,
,3.5,75,6,,,
,3.5,75,7,,,
,3.5,75,8,,,
,3.5,75,9,,,
,3.5,100,0,13,,
,3.5,100,1,,,
,3.5,100,2,,,
,3.5,100,3,,,
,3.5,100,4,,,
,3.5,100,5,,,
,3.5,100,6,,,
,3.5,100,7,,,
,3.5,100,8,,,
,3.5,100,9,,,
,3.5,125,0,6,,
,3.5,125,1,,,
,3.5,125,2,,,
,3.5,125,3,,,
,3.5,125,4,,,
,3.5,125,5,,,
,3.5,125,6,,,
,3.5,125,7,,,
,3.5,125,8,,,
,3.5,125,9,,,
,3.5,150,0,5,,
,3.5,150,1,,,
,3.5,150,2,,,
,3.5,150,3,,,
,3.5,150,4,,,
,3.5,150,5,,,
,3.5,150,6,,,
,3.5,150,7,,,
,3.5,150,8,,,
,3.5,150,9,,,
,3.5,175,0,3,,
,3.5,175,1,,,
,3.5,175,2,,,
,3.5,175,3,,,
,3.5,175,4,,,
,3.5,175,5,,,
,3.5,175,6,,,
,3.5,175,7,,,
,3.5,175,8,,,
,3.5,175,9,,,
,4,25,0,5,,
,4,25,1,,,
,4,25,2,,,
,4,25,3,,,
,4,25,4,,,
,4,25,5,,,
,4,25,6,,,
,4,25,7,,,
,4,25,8,,,
,4,25,9,,,
,4,50,0,11,,
,4,50,1,,,
,4,50,2,,,
,4,50,3,,,
,4,50,4,,,
,4,50,5,,,
,4,50,6,,,
,4,50,7,,,
,4,50,8,,,
,4,50,9,,,
,4,75,0,10,,
,4,75,1,,,
,4,75,2,,,
,4,75,3,,,
,4,75,4,,,
,4,75,5,,,
,4,75,6,,,
,4,75,7,,,
,4,75,8,,,
,4,75,9,,,
,4,100,0,3,,
,4,100,1,,,
,4,100,2,,,
,4,100,3,,,
,4,100,4,,,
,4,100,5,,,
,4,100,6,,,
,4,100,7,,,
,4,100,8,,,
,4,100,9,,,
,4,125,0,11,,
,4,125,1,,,
,4,125,2,,,
,4,125,3,,,
,4,125,4,,,
,4,125,5,,,
,4,125,6,,,
,4,125,7,,,
,4,125,8,,,
,4,125,9,,,
,4,150,0,10,,
,4,150,1,,,
,4,150,2,,,
,4,150,3,,,
,4,150,4,,,
,4,150,5,,,
,4,150,6,,,
,4,150,7,,,
,4,150,8,,,
,4,150,9,,,
,4,175,0,3,,
,4,175,1,,,
,4,175,2,,,
,4,175,3,,,
,4,175,4,,,
,4,175,5,,,
,4,175,6,,,
,4,175,7,,,
,4,175,8,,,
,4,175,9,,,
